order_id,client,sum,date,return_id,reason,delivery_id,status
695de27a-985c-4317-b48d-841bad1ece25,8,83,2023-12-24,,,d577e30d-6e7f-4d9c-8933-b83b53d0d3a8,Запланирована
83e420c7-5741-49aa-8702-1996284e9a37,381,98,2023-02-03,,,247860c2-1662-4c76-986a-b789e410a45a,В процессе
dba9f19d-2c19-4419-82e1-59b547dbcf92,35,41,2023-03-14,,,5256ab3c-e7bc-4568-aa1e-55075ad87a79,В процессе
46c1e0d3-aadd-4c70-b76f-23801bed994d,461,80,2023-02-08,,,3430e9e2-82d0-43a4-9ee6-bedfbabb86ec,Запланирована
745a083f-3927-4d58-af07-4b25d9d039d1,489,53,2023-08-31,,,70f7efc3-5e2f-4dbf-bb8a-03cfbb2e3f26,В процессе
51627caa-aa20-4b1f-851f-f09f3da2284a,339,75,2023-05-18,,,c80c5924-03a4-4d9a-997a-05f42d7127da,В процессе
d55fb63b-d15f-47f6-b133-582b400825ff,244,47,2023-09-11,,,4b6be4e8-a328-4ff4-9119-7bf903a768be,Выполнена
49fea374-a232-48e0-b9a3-1983516d9849,206,32,2023-07-10,,,abedfb36-71e0-42c6-ae27-b091a5d5d7f2,В процессе
e1a92c73-a128-460a-a49f-e2f60eacf92c,440,10,2023-04-03,,,c5356dc0-f3bc-481c-9ddc-f783cf7ca956,Выполнена
0a7a73d3-d916-44fc-815b-12c346e6ea60,495,73,2023-11-08,,,5d603fed-e8a7-421c-b4ac-cf4e34e82e55,В процессе
31e19cae-3ea5-4a44-80ac-e54e51ce4862,2,39,2023-03-27,,,8e61e594-9e34-4189-b6bb-7f7c289f4fd8,Выполнена
3fddc64f-4c21-4106-bb52-491b37a3a763,344,48,2023-11-03,,,583f68f7-4bfd-49cf-a696-e627ab2e7400,В процессе
29d0ab14-2ceb-4624-971c-849705040cb9,97,67,2023-06-24,,,adb9494e-b229-4420-a627-bc9070449634,В процессе
e6364356-47c6-46a2-8d6a-3f04b484e508,164,93,2023-10-26,5eefd769-ae83-4f11-899f-02aafc76b472,Нашли дешевле,0d8d3e2c-8e95-4f8f-9d0f-2d3b35cfa3a8,Выполнена
b6e7e050-5f57-4f8b-8f4e-df85be0d2821,3,68,2023-10-13,,,108fafc0-f365-4c1e-9196-3843dff4dacf,В процессе
97f9342c-caa8-4e08-9718-83fa880bad60,86,75,2023-09-03,,,adcdf224-1944-4420-86b2-3bcd4235a814,Запланирована
7ca4734a-b8b5-40d2-b72d-97b22ed2eba1,41,16,2023-01-26,,,c6dfbdd3-3ab8-4146-8ffc-045ec9b38e18,Запланирована
4e638a5a-dd67-451d-97c6-15d22e7ba38a,28,47,2023-03-04,,,989a7725-f391-40da-a528-2eeda308fbc1,Запланирована
443db11a-81ac-47c2-b818-19193289fdd0,484,69,2023-09-01,,,338ba256-8868-47ca-a1cb-9e428754c87d,Запланирована
0b3e3737-c37e-4029-aed0-5df94dbd7f61,46,42,2023-02-19,,,4c96ec8f-082c-407c-b4f7-494c264789c2,Запланирована
f8b34a34-a63e-4934-93fd-df7e539a9285,160,34,2023-07-02,,,2c6b17e7-2ec1-43f7-93d6-60ecfe8889b0,Запланирована
78d5e5dd-75b1-4337-933c-425789066f6c,245,96,2023-09-18,,,05f44006-a000-47c5-af60-52d200c2da07,Выполнена
3c17dc27-3265-4cc8-a51a-6a5fbe38e782,329,45,2023-06-19,,,39a64c69-7ab4-4463-9f78-0975257df30e,Выполнена
60f14e96-0504-4a4e-b283-af9abd401013,125,71,2023-01-12,,,bef316ec-a7f3-4699-a62f-05ab2bab68ed,Выполнена
5c84ce5a-3016-4d95-9143-17fb3aa905ea,146,21,2023-08-06,,,ea4c09a4-a67f-4ff2-856c-4c8cfc9f44c6,В процессе
665ffa0a-a2f1-40ea-ae33-09808262e561,487,19,2023-09-11,,,2bf3ebd5-f96d-4194-9193-a8b270990634,Выполнена
cb2b66cf-c3a7-4aaa-a6b7-ba03b0ead0bc,20,61,2023-06-05,,,25f2dda2-3c6d-4912-b224-d9f746f8ec1d,Запланирована
